customer_id,age,gender,tenure,monthly_charges,churn
23,47,M,22,94,0
100,74,F,39,248,0
1,25,M,0,50,1
58,32,F,57,164,0
39,63,M,38,126,0
55,29,M,54,158,0
64,38,F,3,176,0
20,44,F,19,88,0
83,57,M,22,214,0
45,69,M,44,138,0
27,51,M,26,102,0
94,68,F,33,236,0
12,36,F,11,72,0
40,64,F,39,128,0
75,49,M,14,198,0
99,73,M,38,246,0
70,44,F,9,188,0
21,45,M,20,90,1
71,45,M,10,190,1
72,46,F,11,192,0
44,68,F,43,136,0
41,65,M,40,130,1
63,37,M,2,174,0
53,27,M,52,154,0
50,74,F,49,148,0
10,34,F,9,68,0
84,58,F,23,216,0
97,71,M,36,242,0
32,56,F,31,112,0
9,33,M,8,66,0
93,67,M,32,234,0
36,60,F,35,120,0
90,64,F,29,228,0
68,42,F,7,184,0
87,61,M,26,222,0
76,50,F,15,200,0
43,67,M,42,134,0
19,43,M,18,86,0
82,56,F,21,212,0
2,26,F,1,52,0
46,70,F,45,140,0
74,48,F,13,196,0
95,69,M,34,238,0
85,59,M,24,218,0
28,52,F,27,104,0
42,66,F,41,132,0
13,37,M,12,74,0
30,54,F,29,108,0
96,70,F,35,240,0
88,62,F,27,224,0
35,59,M,34,118,0
92,66,F,31,232,0
29,53,M,28,106,0
31,55,M,30,110,1
78,52,F,17,204,0
8,32,F,7,64,0
81,55,M,20,210,1
52,26,F,51,152,0
15,39,M,14,78,0
48,72,F,47,144,0
